"ANIO","MES","FECHA_REGISTRO","DEPARTAMENTO","MUNICIPIO","VEREDA_CORREGIMIENTO","PREDIO_BARRIO","AREA_PROTEGIDA_NACIONAL","LATITUD","LONGITUD","ELEVACION_MSNM","AREA_COPA_HA","AREA_SUPERFICIAL_HA","AREA_SUBTERRANEO_HA","AREA_MIXTO_HA","AREA_OTRO_TIPO_HA","CAUSA_QUEMA_FUERA_CONTROL","CAUSA_DESCUIDO_NEGLIGENCIA","CAUSA_INTENCIONAL","CAUSA_ACCIDENTAL","CAUSA_REACTIVACION_FOCOS","CAUSA_OTRA","COB_BOSQUE_NATURAL_DENSO","COB_BOSQUE_INTERVENIDO","COB_BOSQUE_PLANTADO","COB_BOSQUE_SECO","COB_CULTIVOS","COB_PARAMOS","COB_SABANAS_PASTIZALES","COB_PASTOS_MANEJADOS","COB_RASTROJO","COB_VEGETACION_SECA","COB_COBERTURA_SIN_DETERMINAR","AREA_TOTAL_HA","ENTIDAD_REPORTA","FUENTE_HOJA"
"2022","Enero","2022-01-01","BOYACÁ","Ráquira","Límites con la Candelaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","BD_ICV_2022"
"2022","Enero","2022-01-01","BOYACÁ","Ráquira","Carapacho","","","","","","","","","","Superficial","","","","","","Sin definir","","","","","","","","","","","","8.6","","BD_ICV_2022"
"2022","Enero","2022-01-02","CASANARE","Yopal","VEREDAS VILLA DAVID Y AMÉRICAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","BD_ICV_2022"
"2022","Enero","2022-01-03","BOYACÁ","Chinavita","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Enero","2022-01-03","BOYACÁ","Chinavita","Fusa","","","","","","","","","","Mixto","","","","","","Intencional","","","","","","","","","","","","0.41","","BD_ICV_2022"
"2022","Enero","2022-01-03","CASANARE","Aguazul","Km 4 Vía a Maní, Sector Fasca","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Enero","2022-01-03","CASANARE","Aguazul","Vereda Guaduales contiguo a la antigua escuela del Das","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Enero","2022-01-03","CUNDINAMARCA","Ubalá","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Enero","2022-01-03","CUNDINAMARCA","Ubalá","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","BD_ICV_2022"
"2022","Enero","2022-01-03","META","Granada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Enero","2022-01-03","META","Granada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","BD_ICV_2022"
"2022","Enero","2022-01-04","META","Puerto López","FINCA SAN MIGUEL FRENTE A LA REFORMA CERCA DE PACHAQUIARO","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","BD_ICV_2022"
"2022","Enero","2022-01-04","META","Puerto López","SECTOR PUERTO GUADALUPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","BD_ICV_2022"
"2022","Enero","2022-01-06","BOYACÁ","Aquitania","Toquilla","","","","","","","","","","Superficial","","","","","","Sin definir","","","","","","","","","","","","31.3","","BD_ICV_2022"
"2022","Enero","2022-01-06","BOYACÁ","Cuítiva","VEREDA CUATRO ESQUINAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","BD_ICV_2022"
"2022","Enero","2022-01-06","BOYACÁ","Cuítiva","Amarillos","","","","","","","","","","Superficial","","","","","","Sin definir","","","","","","","","","","","","35.93","","BD_ICV_2022"
"2022","Enero","2022-01-06","META","Restrepo","VEREDA SARDINATA","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","BD_ICV_2022"
"2022","Enero","2022-01-06","META","Restrepo","VEREDA LA FLORESTA","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","BD_ICV_2022"
"2022","Enero","2022-01-06","META","Villavicencio","VEREDA APIAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","BD_ICV_2022"
"2022","Enero","2022-01-06","META","Villavicencio","SECTOR BARRIO LA RELIQUIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","BD_ICV_2022"
"2022","Enero","2022-01-08","HUILA","Garzón","Alto Sartenejo","","","","","","","","","","Copa","","","","","","Sin definir","","","","","","","","","","","","0.5","","BD_ICV_2022"
"2022","Enero","2022-01-08","HUILA","Garzón","Alto San Isidro","","","","","","","","","","Copa","","","","","","Sin definir","","","","","","","","","","","","3","","BD_ICV_2022"
"2022","Enero","2022-01-08","HUILA","Garzón","Campo Amor","","","","","","","","","","Copa","","","","","","Sin definir","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Enero","2022-01-08","PUTUMAYO","Puerto Leguizamo","KM: 19, CERCA DE LA LADRILLERA.","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","BD_ICV_2022"
"2022","Enero","2022-01-08","PUTUMAYO","Puerto Leguizamo","VEREDA: CARRASTOL CEBU","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","BD_ICV_2022"
"2022","Enero","2022-01-09","HUILA","Teruel","Sector Delicias","","","","","","","","","","Superficial","","","","","","Quemas fuera de control","","","","","","","","","","","","0.5","","BD_ICV_2022"
"2022","Enero","2022-01-09","HUILA","Teruel","Sector Pailas","","","","","","","","","","Superficial","","","","","","Quemas fuera de control","","","","","","","","","","","","3","","BD_ICV_2022"
"2022","Enero","2022-01-10","CASANARE","Aguazul","Vereda Cuarto Únete Finca La Chacarita","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","BD_ICV_2022"
"2022","Enero","2022-01-10","CASANARE","Aguazul","Vereda La Iguanea","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","BD_ICV_2022"
"2022","Enero","2022-01-10","CASANARE","Aguazul","Vereda Guaduales","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Enero","2022-01-10","CAUCA","Páez","Resguardo Cohetando Y Vereda El Salado","","","","","","","","","","Mixto","","","","","","Sin definir","","","","","","","","","","","","22","","BD_ICV_2022"
"2022","Enero","2022-01-10","CESAR","San Martín","VARIANTE RUTA DEL SOL SOBRE LA DOBLE CALZADA VÍA SAN ALBERTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","BD_ICV_2022"
"2022","Enero","2022-01-10","CESAR","San Martín","VEREDA EL DIVISO PROPIEDAD DE LUIS DORIAN QUINTERO","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","BD_ICV_2022"
"2022","Enero","2022-01-11","PUTUMAYO","Puerto Leguizamo","SECTOR: VÍA RESGUARDO INDÍGENA LA SAMARITANA","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","BD_ICV_2022"
"2022","Enero","2022-01-11","PUTUMAYO","Puerto Leguizamo","SECTOR: LOS KIOSCOS- KM: 19","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","BD_ICV_2022"
"2022","Enero","2022-01-13","META","Villavicencio","VEREDA LA CECILIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Enero","2022-01-13","META","Villavicencio","SITIO VÍA ACACIAS SECTOR DEL CEMENTERIO","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Enero","2022-01-19","CASANARE","Aguazul","Vereda Las Atalayas Finca Rancho Gavilanes,","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","BD_ICV_2022"
"2022","Enero","2022-01-19","CASANARE","Aguazul","Ereda Cerrito, Km 58 Vía A Monterrey","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","BD_ICV_2022"
"2022","Enero","2022-01-19","CASANARE","Pore","Vereda Guanábanas Sobre La Marginal Del Llano, Cerca Al Río Güachiría","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","BD_ICV_2022"
"2022","Enero","2022-01-19","CASANARE","Pore","Vereda Guanábanas Sobre La Vía Pore - Paz De Ariporo","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","","BD_ICV_2022"
"2022","Enero","2022-01-20","MAGDALENA","Ciénaga","SECTOR: SIERRA NEVADA","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","BD_ICV_2022"
"2022","Enero","2022-01-20","MAGDALENA","Ciénaga","Palmor Pozon","","","","","","","","","","Superficial","","","","","","Quemas fuera de control","","","","","","","","","","","","4","","BD_ICV_2022"
"2022","Enero","2022-01-22","CASANARE","Maní","Vereda La Poyata","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","","BD_ICV_2022"
"2022","Enero","2022-01-22","CASANARE","Maní","Vereda Mate Piña","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","BD_ICV_2022"
"2022","Enero","2022-01-24","BOYACÁ","Sogamoso","VEREDA MELGAREJO","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","BD_ICV_2022"
"2022","Enero","2022-01-24","BOYACÁ","Sogamoso","Las Cañas","","","","","","","","","","Superficial","","","","","","Otros","","","","","","","","","","","","4.42","","BD_ICV_2022"
"2022","Enero","2022-01-24","CASANARE","Paz de Ariporo","Relleno Sanitario y el Sena","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","BD_ICV_2022"
"2022","Enero","2022-01-24","CASANARE","Paz de Ariporo","Vereda: Brisas del Muese, Sector: Rancho Violetas, Vía a Montañas del Totumo","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","BD_ICV_2022"
"2022","Enero","2022-01-24","HUILA","Gigante","Vereda Bajo Corozal","","","","","","","","","","Copa","","","","","","Sin definir","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Enero","2022-01-25","CASANARE","Paz de Ariporo","Vereda Carrastol Cebu","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Enero","2022-01-25","CASANARE","Paz de Ariporo","Cerca Al Sena","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","BD_ICV_2022"
"2022","Enero","2022-01-28","GUAVIARE","San José del Guaviare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","","BD_ICV_2022"
"2022","Enero","2022-01-28","HUILA","Gigante","Sector Del Chorro Barrio El Carmen","","","","","","","","","","Superficial","","","","","","Quemas fuera de control","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Enero","2022-01-28","HUILA","Gigante","Vereda Bajo Corozal","","","","","","","","","","Superficial","","","","","","Intencional","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Enero","2022-01-28","META","Puerto Lleras","VÍA A PUERTO GRANADA KM 45","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","BD_ICV_2022"
"2022","Enero","2022-01-28","META","Puerto Lleras","SECTOR VETADA CHAFURRAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","BD_ICV_2022"
"2022","Enero","2022-01-29","BOGOTÁ D.C.","Bogotá D.C.","El Uval -  Km 2+300 Vía Al Llano Localidad Usme","","","","","","","","","","Mixto","","","","","","Sin definir","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Enero","2022-01-29","BOGOTÁ D.C.","Bogotá D.C.","El Uval - Cl 115 Sur 5 Este Localidad Usme","","","","","","","","","","Superficial","","","","","","Sin definir","","","","","","","","","","","","2.1","","BD_ICV_2022"
"2022","Enero","2022-01-30","CASANARE","Aguazul","Vereda Cuarto Únete, Finca San Antonio","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","BD_ICV_2022"
"2022","Enero","2022-01-30","CASANARE","Aguazul","Vereda Cuarto Únete, Finca La Chacarita","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Enero","2022-01-30","HUILA","Tello","Casco Urbano (Sendero Sandiego)","","","","","","","","","","Copa","","","","","","Sin definir","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Enero","2022-01-30","HUILA","Tello","Vereda San Isidro Bajo","","","","","","","","","","Superficial","","","","","","Quemas fuera de control","","","","","","","","","","","","0.5","","BD_ICV_2022"
"2022","Enero","2022-01-30","META","Vistahermosa","VEREDA ALTO GUANÍ","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","BD_ICV_2022"
"2022","Enero","2022-01-30","META","Vistahermosa","VEREDA LA PAZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","BD_ICV_2022"
"2022","Enero","2022-01-30","SANTANDER","Barrancabermeja","VEREDA PÉNJAMO","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","BD_ICV_2022"
"2022","Febrero","2022-02-02","CUNDINAMARCA","Cáqueza","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","BD_ICV_2022"
"2022","Febrero","2022-02-02","CUNDINAMARCA","Cáqueza","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Febrero","2022-02-02","HUILA","Palermo","Vereda Cuiscinde","","","","","","","","","","Copa","","","","","","Sin definir","","","","","","","","","","","","7","","BD_ICV_2022"
"2022","Febrero","2022-02-02","HUILA","Palermo","Gloriete Via Palermo Neiva Juncal","","","","","","","","","","Superficial","","","","","","Sin definir","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Febrero","2022-02-02","META","Puerto Gaitán","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","BD_ICV_2022"
"2022","Febrero","2022-02-02","META","Puerto Gaitán","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600","","BD_ICV_2022"
"2022","Febrero","2022-02-04","HUILA","Tello","Vereda Mesa Redonda","","","","","","","","","","Superficial","","","","","","Quemas fuera de control","","","","","","","","","","","","0.05","","BD_ICV_2022"
"2022","Febrero","2022-02-04","HUILA","Tello","Vereda Cucharito","","","","","","","","","","Superficial","","","","","","Quemas fuera de control","","","","","","","","","","","","0.02","","BD_ICV_2022"
"2022","Febrero","2022-02-04","LA GUAJIRA","Riohacha","Tigrera - Puente Bomba","","","","","","","","","","Superficial","","","","","","Otros","","","","","","","","","","","","800","","BD_ICV_2022"
"2022","Febrero","2022-02-04","META","Granada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","","BD_ICV_2022"
"2022","Febrero","2022-02-04","META","Granada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","BD_ICV_2022"
"2022","Febrero","2022-02-04","VICHADA","Puerto Carreño","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Febrero","2022-02-04","VICHADA","Puerto Carreño","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Febrero","2022-02-13","CASANARE","Paz de Ariporo","Vereda Brisas del Muese, Vía El Totumo","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Febrero","2022-02-13","CASANARE","Paz de Ariporo","Vereda Carrastol Sector Cebú","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Febrero","2022-02-14","ARAUCA","Arauca","VEREDA TODOS LOS SANTOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Febrero","2022-02-14","ARAUCA","Arauca","VEREDA EL MIEDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","1500","","BD_ICV_2022"
"2022","Febrero","2022-02-16","ARAUCA","Arauca","VEREDA BOCAS DEL ARAUCA","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","","BD_ICV_2022"
"2022","Febrero","2022-02-16","GUAVIARE","San José del Guaviare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","","BD_ICV_2022"
"2022","Febrero","2022-02-16","GUAVIARE","San José del Guaviare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Febrero","2022-02-16","GUAVIARE","San José del Guaviare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2022"
"2022","Febrero","2022-02-16","META","Puerto López","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","BD_ICV_2022"
"2022","Febrero","2022-02-16","META","Puerto López","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","BD_ICV_2022"
"2022","Febrero","2022-02-16","META","Puerto López","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450","","BD_ICV_2022"
"2022","Febrero","2022-02-17","SANTANDER","Tona","Pirgua","","","","","","","","","","Superficial","","","","","","Descuido y negligencia","","","","","","","","","","","","0.31","","BD_ICV_2022"
"2022","Febrero","2022-02-20","META","Puerto López","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1500","","BD_ICV_2022"
"2022","Febrero","2022-02-20","META","Puerto López","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","BD_ICV_2022"
"2022","Febrero","2022-02-21","CESAR","El Copey","Betania","","","","","","","","","","Superficial","","","","","","Sin definir","","","","","","","","","","","","81","","BD_ICV_2022"
"2022","Febrero","2022-02-21","CESAR","El Copey","Betania Y Ley De Dios","","","","","","","","","","Superficial","","","","","","Sin definir","","","","","","","","","","","","421","","BD_ICV_2022"
"2022","Febrero","2022-02-22","CASANARE","Aguazul","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","BD_ICV_2022"
"2022","Febrero","2022-02-22","CASANARE","Aguazul","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","","BD_ICV_2022"
"2022","Febrero","2022-02-22","CASANARE","Aguazul","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","BD_ICV_2022"
"2022","Febrero","2022-02-22","CASANARE","Aguazul","","","","","","","","","","","","","","","","","","","","","","","","","","","","","520","","BD_ICV_2022"
"2022","Febrero","2022-02-22","META","La Macarena","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","BD_ICV_2022"
"2022","Febrero","2022-02-22","META","La Macarena","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","BD_ICV_2022"
"2022","Febrero","2022-02-26","CESAR","Agustín Codazzi","La Duda","","","","","","","","","","Superficial","","","","","","Sin definir","","","","","","","","","","","","1.84","","BD_ICV_2022"
"2022","Febrero","2022-02-26","CESAR","Agustín Codazzi","La Iberia - Guarani","","","","","","","","","","Superficial","","","","","","Quemas fuera de control","","","","","","","","","","","","6.48","","BD_ICV_2022"
