"ANIO","MES","FECHA_REGISTRO","DEPARTAMENTO","MUNICIPIO","VEREDA_CORREGIMIENTO","PREDIO_BARRIO","AREA_PROTEGIDA_NACIONAL","LATITUD","LONGITUD","ELEVACION_MSNM","AREA_COPA_HA","AREA_SUPERFICIAL_HA","AREA_SUBTERRANEO_HA","AREA_MIXTO_HA","AREA_OTRO_TIPO_HA","CAUSA_QUEMA_FUERA_CONTROL","CAUSA_DESCUIDO_NEGLIGENCIA","CAUSA_INTENCIONAL","CAUSA_ACCIDENTAL","CAUSA_REACTIVACION_FOCOS","CAUSA_OTRA","COB_BOSQUE_NATURAL_DENSO","COB_BOSQUE_INTERVENIDO","COB_BOSQUE_PLANTADO","COB_BOSQUE_SECO","COB_CULTIVOS","COB_PARAMOS","COB_SABANAS_PASTIZALES","COB_PASTOS_MANEJADOS","COB_RASTROJO","COB_VEGETACION_SECA","COB_COBERTURA_SIN_DETERMINAR","AREA_TOTAL_HA","ENTIDAD_REPORTA","FUENTE_HOJA"
"2021","Enero","2021-01-02","BOLIVAR","El Peñon","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","6","","BD_ICV_2021"
"2021","Junio","2021-06-17","QUINDÍO","Córdoba","Travesías","","N","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","BD_ICV_2021"
"2021","Junio","2021-06-07","HUILA","Campoalegre","Vereda Llano Sur","","N","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","","BD_ICV_2021"
"2021","Junio","2021-06-07","HUILA","Yaguará","Vereda Vilu (Sector El Cucharo).","","N","","","","","","","","","","","","","","","","","","","","","","","","","","15","","BD_ICV_2021"
"2021","Junio","2021-06-15","HUILA","Palermo","Vereda Buenos Aires (finca Corral de Piedra)","","N","","","","","","","","","","","","","","","","","","","","","","","","","","1","","BD_ICV_2021"
"2021","Mayo","2021-05-25","AMAZONAS","Leticia","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","60","","BD_ICV_2021"
"2021","Mayo","2021-05-23","SANTANDER","Rionegro","Llano de Palmas","","N","","","","","","","","","","","","","","","","","","","","","","","","","","0.18","","BD_ICV_2021"
"2021","Abril","2021-04-05","QUINDÍO","Calarcá","La Paloma","","S","","","","","","","","","","","","","","","","","","","","","","","","","","1.55","","BD_ICV_2021"
"2021","Abril","2021-04-02","CUNDINAMARCA","Facatativá","VEREDA MANCILLA","","S","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","","BD_ICV_2021"
"2021","Abril","2021-04-24","CUNDINAMARCA","Cucunubá","VEREDA PEÑA","","N","","","","","","","","","","","","","","","","","","","","","","","","","","1.1200000000000001","","BD_ICV_2021"
