"ANIO","MES","FECHA_REGISTRO","DEPARTAMENTO","MUNICIPIO","VEREDA_CORREGIMIENTO","PREDIO_BARRIO","AREA_PROTEGIDA_NACIONAL","LATITUD","LONGITUD","ELEVACION_MSNM","AREA_COPA_HA","AREA_SUPERFICIAL_HA","AREA_SUBTERRANEO_HA","AREA_MIXTO_HA","AREA_OTRO_TIPO_HA","CAUSA_QUEMA_FUERA_CONTROL","CAUSA_DESCUIDO_NEGLIGENCIA","CAUSA_INTENCIONAL","CAUSA_ACCIDENTAL","CAUSA_REACTIVACION_FOCOS","CAUSA_OTRA","COB_BOSQUE_NATURAL_DENSO","COB_BOSQUE_INTERVENIDO","COB_BOSQUE_PLANTADO","COB_BOSQUE_SECO","COB_CULTIVOS","COB_PARAMOS","COB_SABANAS_PASTIZALES","COB_PASTOS_MANEJADOS","COB_RASTROJO","COB_VEGETACION_SECA","COB_COBERTURA_SIN_DETERMINAR","AREA_TOTAL_HA","ENTIDAD_REPORTA","FUENTE_HOJA"
"2024","Enero","2024-01-01","RISARALDA","PEREIRA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-01","MAGDALENA","SANTA MARTA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-01","CASANARE","OROCUÉ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-01","ATLANTICO","SABANAGRANDE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-01","ANTIOQUIA","SOPETRÁN","LOS TANQUES","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-01","ANTIOQUIA","SOPETRÁN","GUAIMARAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-01","BOYACÁ","SORACÁ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-01","SANTANDER","PIEDECUESTA","granja Lindaraja Cerro de la Cantera Guatiguara","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-01","ANTIOQUIA","CHIGORODÓ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-01","CORDOBA","CERETÉ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","CASANARE","YOPAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","BOYACÁ","TIBANÁ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","MAGDALENA","SANTA MARTA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","SANTANDER","BUCARAMANGA","cina","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","SANTANDER","BUCARAMANGA","CAMPO HERMOSO","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","SANTANDER","BUCARAMANGA","DANGON","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","SANTANDER","BUCARAMANGA","VILLA HELENA","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","CORDOBA","LORICA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","META","LEJANÍAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","ATLANTICO","GALAPA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","CESAR","AGUACHICA","Finca vista hermosa","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","ARAUCA","TAME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","SANTANDER","GUAPOTÁ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","CASANARE","YOPAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","HUILA","ISNOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","PUTUMAYO","PUERTO LEGUÍZAMO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","VICHADA","PUERTO CARREÑO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","SANTANDER","BETULIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-02","CORDOBA","CERETÉ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-03","SANTANDER","BUCARAMANGA","GALAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-03","SANTANDER","BUCARAMANGA","CAMPO HERMOSO","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-03","PUTUMAYO","COLÓN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-03","BOLIVAR","MARÍA LA BAJA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-03","BOYACÁ","TUTA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-03","ANTIOQUIA","AMAGÁ","SECTOR LA AGUACATERA, DE LA VEREDA NICANOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-03","CASANARE","YOPAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-03","MAGDALENA","CIÉNAGA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-03","PUTUMAYO","PUERTO LEGUÍZAMO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-03","CORDOBA","CERETÉ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-03","CORDOBA","PLANETA RICA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-03","CASANARE","VILLANUEVA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-03","ATLANTICO","SABANALARGA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","BOYACÁ","TIBANÁ","EL JOME, DE LA VEREDA SIRAMA.","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","BOYACÁ","TIBANÁ","VEREDA: PUENTE TIERRA","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","BOYACÁ","SUTATENZA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","CALDAS","FILADELFIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","SANTANDER","BUCARAMANGA","Antonia Santos Sur","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","SANTANDER","BUCARAMANGA","NORTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","SANTANDER","BUCARAMANGA","LAGOS DEL CACIQUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","SANTANDER","MACARAVITA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","PUTUMAYO","COLÓN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","ATLANTICO","SABANAGRANDE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","BOLIVAR","MARÍA LA BAJA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","HUILA","SAN AGUSTÍN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","ATLANTICO","GALAPA","CR 59 CLL 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","ATLANTICO","GALAPA","CALL 15CR 43","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","SANTANDER","OIBA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","SANTANDER","GIRÓN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","CORDOBA","PLANETA RICA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","CASANARE","PAZ DE ARIPORO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","CALDAS","ANSERMA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","CORDOBA","PUEBLO NUEVO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","MAGDALENA","SANTA MARTA","Dirección: CALLE 41 KRA 12","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","MAGDALENA","SANTA MARTA","arrio: ENSENADA JUAN 23","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","MAGDALENA","SANTA MARTA","CERRO DE LA CANTERA DE COREA","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
"2024","Enero","2024-01-04","CORDOBA","CERETÉ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","UNGRD","BD_ICV_2024"
